Column1,Scene,Listener,SII,Column2
Scene S07418 listener L0095 sii 0.6964,S07418,L0095,0.6964,07418
Scene S07419 listener L0026 sii 0.6134,S07419,L0026,0.6134,07419
Scene S07419 listener L0078 sii 0.7042,S07419,L0078,0.7042,07419
Scene S07419 listener L0071 sii 0.6181,S07419,L0071,0.6181,07419
Scene S07420 listener L0001 sii 0.5848,S07420,L0001,0.5848,07420
Scene S07420 listener L0095 sii 0.6551,S07420,L0095,0.6551,07420
Scene S07420 listener L0055 sii 0.6596,S07420,L0055,0.6596,07420
Scene S07421 listener L0026 sii 0.5546,S07421,L0026,0.5546,07421
Scene S07421 listener L0068 sii 0.5865,S07421,L0068,0.5865,07421
Scene S07421 listener L0004 sii 0.6043,S07421,L0004,0.6043,07421
Scene S07422 listener L0051 sii 0.4372,S07422,L0051,0.4372,07422
Scene S07422 listener L0029 sii 0.4617,S07422,L0029,0.4617,07422
Scene S07422 listener L0091 sii 0.4559,S07422,L0091,0.4559,07422
Scene S07423 listener L0027 sii 0.5545,S07423,L0027,0.5545,07423
Scene S07423 listener L0013 sii 0.5366,S07423,L0013,0.5366,07423
Scene S07423 listener L0068 sii 0.5046,S07423,L0068,0.5046,07423
Scene S07424 listener L0082 sii 0.596,S07424,L0082,0.596,07424
Scene S07424 listener L0072 sii 0.4558,S07424,L0072,0.4558,07424
Scene S07424 listener L0085 sii 0.5989,S07424,L0085,0.5989,07424
Scene S07425 listener L0100 sii 0.5748,S07425,L0100,0.5748,07425
Scene S07425 listener L0023 sii 0.6016,S07425,L0023,0.6016,07425
Scene S07425 listener L0068 sii 0.5428,S07425,L0068,0.5428,07425
Scene S07426 listener L0057 sii 0.5551,S07426,L0057,0.5551,07426
Scene S07426 listener L0022 sii 0.5964,S07426,L0022,0.5964,07426
Scene S07426 listener L0089 sii 0.5533,S07426,L0089,0.5533,07426
Scene S07427 listener L0061 sii 0.5114,S07427,L0061,0.5114,07427
Scene S07427 listener L0093 sii 0.475,S07427,L0093,0.475,07427
Scene S07427 listener L0028 sii 0.4809,S07427,L0028,0.4809,07427
Scene S07428 listener L0013 sii 0.4568,S07428,L0013,0.4568,07428
Scene S07428 listener L0014 sii 0.4491,S07428,L0014,0.4491,07428
Scene S07428 listener L0041 sii 0.4824,S07428,L0041,0.4824,07428
Scene S07429 listener L0019 sii 0.7145,S07429,L0019,0.7145,07429
Scene S07429 listener L0034 sii 0.5668,S07429,L0034,0.5668,07429
Scene S07429 listener L0077 sii 0.6468,S07429,L0077,0.6468,07429
Scene S07430 listener L0032 sii 0.6967,S07430,L0032,0.6967,07430
Scene S07430 listener L0004 sii 0.671,S07430,L0004,0.671,07430
Scene S07430 listener L0063 sii 0.6589,S07430,L0063,0.6589,07430
Scene S07431 listener L0056 sii 0.4388,S07431,L0056,0.4388,07431
Scene S07431 listener L0044 sii 0.5009,S07431,L0044,0.5009,07431
Scene S07431 listener L0059 sii 0.5141,S07431,L0059,0.5141,07431
Scene S07432 listener L0093 sii 0.5975,S07432,L0093,0.5975,07432
Scene S07432 listener L0042 sii 0.6813,S07432,L0042,0.6813,07432
Scene S07432 listener L0071 sii 0.6509,S07432,L0071,0.6509,07432
Scene S07433 listener L0083 sii 0.7035,S07433,L0083,0.7035,07433
Scene S07433 listener L0005 sii 0.7001,S07433,L0005,0.7001,07433
Scene S07433 listener L0053 sii 0.6955,S07433,L0053,0.6955,07433
Scene S07434 listener L0072 sii 0.4834,S07434,L0072,0.4834,07434
Scene S07434 listener L0070 sii 0.5085,S07434,L0070,0.5085,07434
Scene S07434 listener L0038 sii 0.5006,S07434,L0038,0.5006,07434
Scene S07435 listener L0076 sii 0.4624,S07435,L0076,0.4624,07435
Scene S07435 listener L0002 sii 0.4793,S07435,L0002,0.4793,07435
Scene S07435 listener L0083 sii 0.4853,S07435,L0083,0.4853,07435
Scene S07436 listener L0094 sii 0.5214,S07436,L0094,0.5214,07436
Scene S07436 listener L0065 sii 0.4847,S07436,L0065,0.4847,07436
Scene S07436 listener L0057 sii 0.4872,S07436,L0057,0.4872,07436
Scene S07437 listener L0036 sii 0.6194,S07437,L0036,0.6194,07437
Scene S07437 listener L0090 sii 0.6293,S07437,L0090,0.6293,07437
Scene S07437 listener L0058 sii 0.622,S07437,L0058,0.622,07437
Scene S07438 listener L0049 sii 0.5242,S07438,L0049,0.5242,07438
Scene S07438 listener L0027 sii 0.6308,S07438,L0027,0.6308,07438
Scene S07438 listener L0029 sii 0.5639,S07438,L0029,0.5639,07438
Scene S07439 listener L0047 sii 0.6002,S07439,L0047,0.6002,07439
Scene S07439 listener L0034 sii 0.5217,S07439,L0034,0.5217,07439
Scene S07439 listener L0021 sii 0.5854,S07439,L0021,0.5854,07439
Scene S07440 listener L0059 sii 0.4987,S07440,L0059,0.4987,07440
Scene S07440 listener L0063 sii 0.5265,S07440,L0063,0.5265,07440
Scene S07440 listener L0026 sii 0.503,S07440,L0026,0.503,07440
Scene S07441 listener L0051 sii 0.597,S07441,L0051,0.597,07441
Scene S07441 listener L0042 sii 0.8017,S07441,L0042,0.8017,07441
Scene S07441 listener L0097 sii 0.564,S07441,L0097,0.564,07441
Scene S07442 listener L0028 sii 0.3684,S07442,L0028,0.3684,07442
Scene S07442 listener L0066 sii 0.4363,S07442,L0066,0.4363,07442
Scene S07442 listener L0004 sii 0.3646,S07442,L0004,0.3646,07442
Scene S07443 listener L0012 sii 0.3941,S07443,L0012,0.3941,07443
Scene S07443 listener L0031 sii 0.4188,S07443,L0031,0.4188,07443
Scene S07443 listener L0064 sii 0.4011,S07443,L0064,0.4011,07443
Scene S07444 listener L0067 sii 0.6658,S07444,L0067,0.6658,07444
